text,label
"The quarterly earnings report showed a 2.5% increase in revenue compared to the previous quarter.",neutral
"Water boils at 100 degrees Celsius at standard atmospheric pressure.",neutral
"The company announced a new policy regarding remote work, allowing employees to choose between office and home setups.",neutral
"The latest census data indicates a population growth of 0.8% in urban areas.",neutral
"Researchers published findings on the effects of caffeine on sleep patterns in adults.",neutral
"The car features a 2.0-liter engine and has a maximum speed of 200 km/h.",neutral
"To reset the device, press and hold the power button for ten seconds.",neutral
"The city council convened on Monday to discuss infrastructure improvements and budget allocations.",neutral
"Photosynthesis is the process used by plants, algae and cyanobacteria to convert light energy into chemical energy.",neutral
"The stock market closed with the Dow Jones Industrial Average up by 150 points.",neutral
"The proposed legislation is an egregious attack on personal liberties and will undoubtedly lead to economic disaster.",biased
"Only a fool would deny the undeniable truth that our glorious leader has ushered in an era of unprecedented prosperity.",biased
"Their cynical maneuvering clearly demonstrates a callous disregard for the struggles of ordinary citizens.",biased
"It is simply unacceptable that the mainstream media continues to ignore the undeniable facts and peddle its own narrative.",biased
"The so-called 'solution' offered by the opposition is nothing more than a thinly veiled attempt to seize power.",biased
"Every right-thinking individual must condemn this abhorrent policy that threatens the very fabric of our society.",biased
"This revolutionary product will fundamentally transform your daily life, making all previous alternatives obsolete.",biased
"The pathetic attempts of the entrenched bureaucracy to stifle innovation are truly disheartening.",biased
"We absolutely must resist this dangerous ideology that seeks to undermine our cherished traditions.",biased
"The sheer incompetence of the current administration has plunged the nation into a preventable crisis.",biased
"The average global temperature has risen by 1.1 degrees Celsius since the late 19th century.",neutral
"The new software update includes enhanced security features and minor bug fixes.",neutral
"Scientists are conducting experiments to determine the effects of microplastics on marine life.",neutral
"A recent survey found that 60% of respondents prefer working remotely at least three days a week.",neutral
"The construction of the new bridge is expected to be completed by the end of next year.",neutral
"The recipe calls for 2 cups of flour, 1 cup of sugar, and 3 eggs.",neutral
"The planet Mars is approximately 228 million kilometers away from the Sun.",neutral
"The museum exhibition showcases artifacts from ancient Egyptian civilization.",neutral
"To install the application, download the file and follow the on-screen instructions.",neutral
"The company's stock price increased by 5% following the positive market report.",neutral
"The utterly reckless decision to cut funding will inevitably decimate public services and betray our most vulnerable citizens.",biased
